[24-Nov-2014 21:57:36 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:04:37 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:09:41 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115605504 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:09:52 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:10:20 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115867648 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:12:12 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115343360 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:14:09 Europe/London] PHP Fatal error:  Call to a member function getTitle() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 35
[24-Nov-2014 22:14:42 Europe/London] PHP Fatal error:  Call to a member function getTitle() on array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 35
[24-Nov-2014 22:14:56 Europe/London] PHP Fatal error:  Cannot use object of type lnl\lnlBundle\Entity\Items as array in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 35
[24-Nov-2014 22:21:28 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115343360 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:21:47 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117440512 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:22:26 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117440512 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:22:34 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:22:52 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:23:30 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117178368 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:24:08 Europe/London] PHP Parse error:  syntax error, unexpected 'namespace' (T_NAMESPACE) in /websites/lnlsymfony/src/lnl/lnlBundle/Controller/CategoriesController.php on line 3
[24-Nov-2014 22:24:16 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 117702656 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
[24-Nov-2014 22:27:40 Europe/London] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 115081216 bytes) in /websites/lnlsymfony/vendor/twig/twig/lib/Twig/Extension/Debug.php on line 66
